SOC_code,Job_type,Standard_going_rate_annual,Lower_going_rate_annual
1111,Chief executives and senior officials,88100,60000
1121,Production managers and directors in manufacturing,55000,40000
1122,Production managers and directors in construction,53400,41400
1123,Production managers and directors in mining and energy,54000,47100
1131,Financial managers and directors,75100,49700
1132,"Marketing, sales and advertising directors",87300,60000
1133,Public relations and communications directors,77200,59700
1134,Purchasing managers and directors,54700,42500
1135,Charitable organisation managers and directors,44300,35900
1136,Human resource managers and directors,52900,41200
1137,Information technology directors,86000,61200
1139,Functional managers and directors not elsewhere classified,74700,52300
1140,"Directors in logistics, warehousing and transport",81400,53600
1150,Managers and directors in retail and wholesale,36400,29400
1162,Senior police officers,64000,60800
1163,"Senior officers in fire, ambulance, prison and related services",61600,50000
1171,Health services and public health managers and directors,50300,41600
1172,Social services managers and directors,43000,33100
1211,Managers and proprietors in agriculture and horticulture,35900,29100
1212,"Managers and proprietors in forestry, fishing and related services",33400,25800
1221,Hotel and accommodation managers and proprietors,38300,29800
1222,Restaurant and catering establishment managers and proprietors,33400,26100
1223,Publicans and managers of licensed premises,36300,30900
1224,Leisure and sports managers and proprietors,34100,26600
1225,Travel agency managers and proprietors,36000,30000
1231,Health care practice managers,40400,32600
1232,"Residential, day and domiciliary care managers and proprietors",40400,32000
1233,Early education and childcare services proprietors,33400,25000
1241,Managers in transport and distribution,44900,35200
1242,Managers in storage and warehousing,35100,29100
1243,Managers in logistics,44900,37300
1251,"Property, housing and estate managers",42600,32500
1252,Garage managers and proprietors,45600,36300
1253,Hairdressing and beauty salon managers and proprietors,33400,27000
1254,Waste disposal and environmental services managers,48300,39700
1255,Managers and directors in the creative industries,44900,37000
1256,Betting shop and gambling establishment managers,33400,27100
1257,Hire services managers and proprietors,33400,28200
1258,Directors in consultancy services,70100,44600
1259,Managers and proprietors in other services not elsewhere classified,41400,33100
2111,Chemical scientists,39900,31300
2112,Biological scientists,40300,30700
2113,Biochemists and biomedical scientists,45900,35100
2114,Physical scientists,54600,41500
2115,Social and humanities scientists,40400,28000
2119,Natural and social science professionals not elsewhere classified,41500,33700
2121,Civil engineers,50400,39200
2122,Mechanical engineers,46800,38400
2123,Electrical engineers,58700,47100
2124,Electronics engineers,52000,41200
2125,Production and process engineers,45000,36500
2126,Aerospace engineers,52400,43400
2127,Engineering project managers and project engineers,51900,40600
2129,Engineering professionals not elsewhere classified,46100,37500
2131,IT project managers,58200,42600
2132,IT managers,55000,43000
2133,"IT business analysts, architects and systems designers",54900,42400
2134,Programmers and software development professionals,54700,40000
2135,Cyber security professionals,48500,35300
2136,IT quality and testing professionals,41200,34500
2137,IT network professionals,45600,38100
2139,Information technology professionals not elsewhere classified,52300,38700
2141,Web design professionals,43800,31300
2142,Graphic and multimedia designers,33400,26200
2151,Conservation professionals,36000,29800
2152,Environment professionals,37200,31400
2161,Research and development (r&d) managers,54400,40000
2162,"Other researchers, unspecified discipline",43600,37400
2240,Veterinarians,49500,38000
2311,Higher education teaching professionals,52600,40600
2317,Teachers of English as a foreign language,36200,30100
2319,Teaching professionals not elsewhere classified,33400,27100
2322,Education managers,43900,34900
2323,Education advisers and school inspectors,42200,35700
2324,Early education and childcare services managers,33400,25000
2329,Other educational professionals not elsewhere classified,40600,30000
2411,Barristers and judges,59400,37000
2412,Solicitors and lawyers,51600,39000
2419,Legal professionals not elsewhere classified,33400,25100
2421,Chartered and certified accountants,49200,36900
2422,Finance and investment analysts and advisers,45800,34200
2423,Taxation experts,48500,35400
2431,Management consultants and business analysts,50200,36000
2432,Marketing and commercial managers,50100,39900
2433,"Actuaries, economists and statisticians",55100,40700
2434,Business and related research professionals,38800,31500
2435,Professional/chartered company secretaries,58200,38600
2439,"Business, research and administrative professionals not elsewhere classified",56600,43200
2440,Business and financial project management professionals,56500,43300
2451,Architects,47600,37800
2452,"Chartered architectural technologists, planning officers and consultants",35800,28200
2453,Quantity surveyors,48600,38500
2454,Chartered surveyors,43800,36000
2455,Construction project managers and related professionals,44300,36600
2462,Probation officers,35700,29400
2464,Youth work professionals,38000,34500
2469,Welfare professionals not elsewhere classified,39700,33500
2471,Librarians,34800,26400
2472,"Archivists, conservators and curators",33400,29600
2481,Quality control and planning engineers,41300,34100
2482,Quality assurance and regulatory professionals,48200,38100
2483,Environmental health professionals,40900,34100
2491,"Newspaper, periodical and broadcast editors",39600,32200
2492,Newspaper and periodical broadcast journalists and reporters,34000,25500
2493,Public relations professionals,37000,30100
2494,Advertising accounts managers and creative directors,46000,37200
3111,Laboratory technicians,33400,25000
3112,Electrical and electronics technicians,39300,30800
3113,Engineering technicians,42500,34700
3114,Building and civil engineering technicians,33400,27900
3115,Quality assurance technicians,33400,26500
3116,"Planning, process and production technicians",34800,28700
3119,"Science, engineering and production technicians not elsewhere classified",34600,28000
3120,"CAD, drawing and architectural technicians",33800,28700
3131,IT operations technicians,35200,27700
3132,IT user support technicians,33400,27700
3133,Database administrators and web content technicians,34600,29200
3211,Dispensing opticians,33400,25100
3212,Pharmaceutical technicians,33400,25000
3214,Complementary health associate professionals,,25000
3221,Youth and community workers,33400,26500
3222,Child and early years officers,33400,25400
3223,Housing officers,33400,27800
3224,Counsellors,33400,26200
3229,Welfare and housing associate professionals not elsewhere classified,33400,25400
3232,Early education and childcare practitioners,33400,25000
3240,Veterinary nurses,33400,25000
3312,Police officers (sergeant and below),46900,36700
3313,Fire service officers (watch manager and below),42100,37600
3314,Prison service officers (below principal officer),38800,31600
3319,Protective service associate professionals not elsewhere classified,41100,33200
3411,Artists,38200,26600
3412,"Authors, writers and translators",36100,29800
3413,"Actors, entertainers and presenters",33400,25000
3414,Dancers and choreographers,33400,28500
3415,Musicians,37500,30100
3416,"Arts officers, producers and directors",38100,28800
3417,"Photographers, audio-visual and broadcasting equipment operators",33400,25400
3421,Interior designers,35200,29600
3422,"Clothing, fashion and accessories designers",36500,29100
3429,Design occupations not elsewhere classified,39300,29800
3433,Fitness and wellbeing instructors,33400,25000
3511,Aircraft pilots and air traffic controllers,80400,64100
3512,Ship and hovercraft officers,58300,39100
3520,Legal associate professionals,33400,26400
3531,Brokers,52400,40000
3532,Insurance underwriters,36500,29800
3533,Financial and accounting technicians,48700,32900
3534,Financial accounts managers,44700,34800
3541,"Estimators, valuers and assessors",35300,28600
3542,Importers and exporters,35700,29800
3543,Project support officers,33900,28900
3544,Data analysts,34900,28600
3549,Business associate professionals not elsewhere classified,33400,25500
3551,Buyers and procurement officers,35500,29300
3552,Business sales executives,36700,29300
3553,Merchandisers,33400,25200
3554,Advertising and marketing associate professionals,33400,26300
3555,Estate agents and auctioneers,33400,25000
3556,Sales accounts and business development managers,55200,40500
3557,Events managers and organisers,33400,25000
3560,Public services associate professionals,39500,34000
3571,Human resources and industrial relations officers,33400,27100
3572,Careers advisers and vocational guidance specialists,33400,26700
3573,Information technology trainers,40000,32100
3574,Other vocational and industrial trainers,34500,28200
3581,Inspectors of standards and regulations,34400,30000
3582,Health and safety managers and officers,42500,34800
4111,National government administrative occupations,33400,25900
4112,Local government administrative occupations,33400,26000
4113,Officers of non-governmental organisations,33400,25000
4121,Credit controllers,33400,25200
4122,"Book-keepers, payroll managers and wages clerks",33400,25400
4124,Finance officers,33400,25600
4129,Financial administrative occupations not elsewhere classified,33400,25000
4132,Pensions and insurance clerks and assistants,33400,25000
4134,Transport and distribution clerks and assistants,33400,25900
4141,Office managers,37400,30000
4143,Customer service managers,35200,27600
4151,Sales administrators,33400,25000
4159,Other administrative occupations not elsewhere classified,33400,25000
4214,Company secretaries and administrators,33400,27100
4215,Personal assistants and other secretaries,33400,27400
5111,Farmers,34100,28200
5112,Horticultural trades,33400,25000
5113,Gardeners and landscape gardeners,33400,25000
5114,Groundsmen and greenkeepers,33400,25000
5119,Agricultural and fishing trades not elsewhere classified,33400,25000
5211,Sheet metal workers,33400,26800
5212,"Metal plate workers, smiths, moulders and related occupations",36700,29200
5213,Welding trades,34900,29500
5214,Pipe fitters,46000,40400
5221,Metal machining setters and setter-operators,34600,28500
5222,"Tool makers, tool fitters and markers-out",38400,33400
5223,Metal working production and maintenance fitters,39300,29900
5224,Precision instrument makers and repairers,33400,28300
5225,Air-conditioning and refrigeration installers and repairers,41100,35500
5231,"Vehicle technicians, mechanics and electricians",35500,27900
5232,Vehicle body builders and repairers,33400,27600
5233,Vehicle paint technicians,33400,29600
5234,Aircraft maintenance and related trades,45000,34800
5235,Boat and ship builders and repairers,33700,29600
5236,Rail and rolling stock builders and repairers,57000,38800
5241,Electricians and electrical fitters,38800,31500
5242,Telecoms and related network installers and repairers,36700,31700
5243,"Tv, video and audio servicers and repairers",33400,25100
5244,Computer system and equipment installers and servicers,35100,26700
5245,Security system installers and repairers,36300,28800
5246,Electrical service and maintenance mechanics and repairers,39700,33800
5249,Electrical and electronic trades not elsewhere classified,45800,35600
5250,"Skilled metal, electrical and electronic trades supervisors",42400,36500
5311,Steel erectors,35000,29500
5312,Stonemasons and related trades,33400,28500
5313,Bricklayers,33400,25600
5314,"Roofers, roof tilers and slaters",33400,25300
5315,Plumbers and heating and ventilating installers and repairers,38100,31400
5316,Carpenters and joiners,33400,27800
5317,"Glaziers, window fabricators and fitters",33400,25800
5319,Construction and building trades not elsewhere classified,33400,27300
5321,Plasterers,34200,29500
5322,Floorers and wall tilers,33400,25400
5323,Painters and decorators,33400,27800
5330,Construction and building trades supervisors,41800,34600
5411,Upholsterers,33400,25000
5412,Footwear and leather working trades,33400,25000
5413,Tailors and dressmakers,33400,25000
5419,"Textiles, garments and related trades not elsewhere classified",33400,25000
5421,Pre-press technicians,33400,25000
5422,Printers,33400,26200
5423,Print finishing and binding workers,33400,25000
5431,Butchers,33400,25000
5432,Bakers and flour confectioners,33400,25000
5433,Fishmongers and poultry dressers,33400,25000
5434,Chefs,33400,25000
5436,Catering and bar managers,33400,25000
5441,"Glass and ceramics makers, decorators and finishers",33400,25400
5442,Furniture makers and other craft woodworkers,33400,25000
5443,Florists,33400,25000
5449,Other skilled trades not elsewhere classified,33400,25800
6111,Early education and childcare assistants,33400,25000
6114,Childminders,33400,25000
6116,Nannies and au pairs,,25000
6117,Playworkers,33400,25000
6129,Animal care services occupations not elsewhere classified,33400,25000
6134,Houseparents and residential wardens,33400,25000
6135,Care workers and home carers,33400,25000
6136,Senior care workers,33400,25000
6213,Air travel assistants,33400,25000
6214,Rail travel assistants,41300,35400
6232,Caretakers,Not eligible for standard rate,25000
6250,Bed and breakfast and guest house owners and proprietors,Not eligible for standard rate,25000
6311,Police community support officers,33400,31600
7115,Vehicle and parts salespersons and advisers,Not eligible for standard rate,25000
7124,Market and street traders and assistants,33400,25000
7125,Visual merchandisers and related occupations,Not eligible for standard rate,25000
7129,Sales related occupations not elsewhere classified,Not eligible for standard rate,25000
7131,Shopkeepers and owners - retail and wholesale,33700,27200
7132,Sales supervisors - retail and wholesale,33400,25000
7214,Market research interviewers,33400,25000
7220,Customer service supervisors,34200,28900
8113,Chemical and related process operatives,33400,26700
8115,Metal making and treating process operatives,Not eligible for standard rate,25000
8133,Energy plant operatives,41500,30100
8134,Water and sewerage plant operatives,38000,31300
8143,Routine inspectors and testers,33400,26600
8215,Driving instructors,39500,33300
8232,Marine and waterways transport operatives,38300,26300
9119,Fishing and other elementary agriculture occupations not elsewhere classified,33400,25000
9249,Elementary sales occupations not elsewhere classified,33400,27500
9252,Warehouse operatives,Not eligible for standard rate,25000
