SOC_code,Job_title,Standard_going_rate_annual,Lower_going_rate_annual
1111,Chairpersons,88100.0,60000
1111,Chief executives,88100.0,60000
1111,Diplomats and foreign office officials,88100.0,60000
1111,Senior public service officials,88100.0,60000
1111,Chief executives and senior officials not elsewhere classified,88100.0,60000
1121,Production managers and directors in manufacturing,55000.0,40000
1122,Production managers and directors in construction,53400.0,41400
1123,Managers and directors in the extraction of fossil fuels,54000.0,47100
1123,Managers and directors in the production of energy,54000.0,47100
1123,Production managers and directors in mining and energy not elsewhere classified,54000.0,47100
1131,"Bank, building society and post office managers",75100.0,49700
1131,Company secretaries and finance managers and directors,75100.0,49700
1131,Investment bankers and directors,75100.0,49700
1131,Financial managers and directors not elsewhere classified,75100.0,49700
1132,Advertising and marketing directors,87300.0,60000
1132,Sales directors,87300.0,60000
1132,"Marketing, sales and advertising directors not elsewhere classified",87300.0,60000
1133,Public relations and communications directors,77200.0,59700
1134,Estimating managers and directors,54700.0,42500
1134,Procurement and purchasing managers and directors,54700.0,42500
1134,Purchasing managers and directors not elsewhere classified,54700.0,42500
1135,Charitable organisation managers and directors,44300.0,35900
1136,Employee relations managers,52900.0,41200
1136,"Equality, diversity and inclusion managers",52900.0,41200
1136,Learning and development managers and directors,52900.0,41200
1136,Recruitment managers and directors,52900.0,41200
1136,Human resources managers and directors not elsewhere classified,52900.0,41200
1137,Information security directors,86000.0,61200
1137,Information technology operations directors,86000.0,61200
1137,Information technology programme managers and directors,86000.0,61200
1137,Information technology technical directors,86000.0,61200
1137,Information technology directors not elsewhere classified,86000.0,61200
1139,Accounts directors,74700.0,52300
1139,Administration directors,74700.0,52300
1139,Complaints and customer service directors,74700.0,52300
1139,Events directors,74700.0,52300
1139,Intellectual property managers and directors,74700.0,52300
1139,Municipal clerks,74700.0,52300
1139,Research and development (R&D) directors,74700.0,52300
1139,Functional managers and directors not elsewhere classified,74700.0,52300
1140,Supply chain directors,81400.0,53600
1140,"Directors in logistics, warehousing and transport not elsewhere classified",81400.0,53600
1150,Managers and directors in retail and wholesale,36400.0,29400
1162,"Chief, deputy chief and assistant chief constables",64000.0,60800
1162,Chief inspectors,64000.0,60800
1162,Chief superintendents,64000.0,60800
1162,Senior police officers not elsewhere classified,64000.0,60800
1163,Senior officers in ambulance services,61600.0,50000
1163,Senior officers in fire services,61600.0,50000
1163,Senior officers in immigration services,61600.0,50000
1163,Senior officers in prison services,61600.0,50000
1163,Senior officers in revenue and customs,61600.0,50000
1171,Clinical governance and information managers,50300.0,41600
1171,Healthcare service managers and directors,50300.0,41600
1171,Health services and public health managers and directors not elsewhere classified,50300.0,41600
1172,Social services managers and directors,43000.0,33100
1211,Managers and proprietors in agriculture and horticulture,35900.0,29100
1212,Cattery and kennel managers and proprietors,33400.0,25800
1212,Fisheries managers and proprietors,33400.0,25800
1212,Forestry managers,33400.0,25800
1212,Livery yard and stud farm managers and proprietors,33400.0,25800
1212,Racehorse trainers,33400.0,25800
1212,"Managers and proprietors in forestry, fishing and related services not elsewhere classified",33400.0,25800
1221,Hotel and accommodation managers and proprietors,38300.0,29800
1222,Café and restaurant managers and proprietors,33400.0,26100
1222,Catering operations managers,33400.0,26100
1222,Takeaway managers and proprietors,33400.0,26100
1222,Restaurant and catering establishment managers and proprietors not elsewhere classified,33400.0,26100
1223,Publicans and managers of licensed premises,36300.0,30900
1224,Cinema managers and proprietors,34100.0,26600
1224,Golf course managers,34100.0,26600
1224,"Gym, fitness and leisure services managers and proprietors",34100.0,26600
1224,Marina managers,34100.0,26600
1224,Museum managers and proprietors,34100.0,26600
1224,Parks and gardens managers,34100.0,26600
1224,Theatre managers (excludes hospital service),34100.0,26600
1224,Leisure and sports managers and proprietors not elsewhere classified,34100.0,26600
1225,Travel agency managers and proprietors,36000.0,30000
1231,Dental practice managers,40400.0,32600
1231,Medical practice managers,40400.0,32600
1231,Opticians managers,40400.0,32600
1231,Veterinary practice managers,40400.0,32600
1231,Health care practice managers not elsewhere classified,40400.0,32600
1232,Day care managers,40400.0,32000
1232,Home care managers,40400.0,32000
1232,Residential care managers and proprietors,40400.0,32000
1232,"Residential, day and domiciliary care managers and proprietors not elsewhere classified",40400.0,32000
1233,Early education and childcare services proprietors,33400.0,25000
1241,Airport managers,44900.0,35200
1241,Depot and fleet managers,44900.0,35200
1241,Dispatch and distribution managers,44900.0,35200
1241,Harbour and port managers,44900.0,35200
1241,Road traffic managers,44900.0,35200
1241,Managers in transport and distribution not elsewhere classified,44900.0,35200
1242,Managers in storage and warehousing,35100.0,29100
1243,Managers in logistics,44900.0,37300
1251,Facilities managers,42600.0,32500
1251,"Landlords, property and housing managers",42600.0,32500
1251,Property investors and developers,42600.0,32500
1251,Sales and lettings managers,42600.0,32500
1251,Shopping centre managers,42600.0,32500
1251,"Property, housing and estate managers not elsewhere classified",42600.0,32500
1252,Garage managers and proprietors,45600.0,36300
1253,Beauty salon managers and proprietors,33400.0,27000
1253,Hairdressing managers and proprietors,33400.0,27000
1253,Hairdressing and beauty salon managers and proprietors not elsewhere classified,33400.0,27000
1254,Landfill site managers,48300.0,39700
1254,Recycling managers,48300.0,39700
1254,Scrap yard managers,48300.0,39700
1254,Sewage works and water treatment managers,48300.0,39700
1254,Waste disposal and environmental services managers not elsewhere classified,48300.0,39700
1255,Art gallery managers and directors,44900.0,37000
1255,Film and television production managers,44900.0,37000
1255,Publishing managers and directors,44900.0,37000
1255,Radio production managers,44900.0,37000
1255,Sport and talent agents,44900.0,37000
1255,Theatre production managers,44900.0,37000
1255,Managers and directors in the creative industries not elsewhere classified,44900.0,37000
1256,Betting shop managers,33400.0,27100
1256,Bingo hall managers,33400.0,27100
1256,Casino managers,33400.0,27100
1256,Betting shop and gambling establishment managers not elsewhere classified,33400.0,27100
1257,Hire services managers and proprietors,33400.0,28200
1258,Design consultancy directors,70100.0,44600
1258,Environmental consultancy directors,70100.0,44600
1258,Management consultancy directors,70100.0,44600
1258,Surveying consultancy directors,70100.0,44600
1258,Directors in consultancy services not elsewhere classified,70100.0,44600
1259,Cleaning and hygiene services managers and proprietors,41400.0,33100
1259,Educational establishment managers and proprietors,41400.0,33100
1259,Funeral services and crematorium managers and proprietors,41400.0,33100
1259,Library managers,41400.0,33100
1259,Recruitment agency managers and proprietors,41400.0,33100
1259,Security services managers and proprietors,41400.0,33100
1259,Managers and proprietors in other services not elsewhere classified,41400.0,33100
2111,Analytical chemists,39900.0,31300
2111,Industrial chemists,39900.0,31300
2111,Nuclear and radiochemists,39900.0,31300
2111,Research and development chemists,39900.0,31300
2111,Chemical scientists not elsewhere classified,39900.0,31300
2112,Agricultural scientists,40300.0,30700
2112,Biologists,40300.0,30700
2112,Botanical and horticultural scientists,40300.0,30700
2112,Microbiologists and bacteriologists,40300.0,30700
2112,Pathologists,40300.0,30700
2112,Pharmacologists,40300.0,30700
2112,Zoological scientists,40300.0,30700
2112,Biological scientists not elsewhere classified,40300.0,30700
2113,Biochemists,45900.0,35100
2113,Biomedical scientists,45900.0,35100
2113,Biotechnologists,45900.0,35100
2113,Clinical scientists,45900.0,35100
2113,Biochemists and biomedical scientists not elsewhere classified,45900.0,35100
2114,Geologists,54600.0,41500
2114,Geophysicists,54600.0,41500
2114,Hydrogeologists and hydrologists,54600.0,41500
2114,Meteorologists,54600.0,41500
2114,Physical scientists not elsewhere classified,54600.0,41500
2115,Anthropologists,40400.0,28000
2115,Archaeologists,40400.0,28000
2115,Behavioural scientists,40400.0,28000
2115,Epidemiologists,40400.0,28000
2115,Genealogists,40400.0,28000
2115,Geographic information systems (GIS) analysts,40400.0,28000
2115,Historians,40400.0,28000
2115,Political scientists,40400.0,28000
2115,Public health analysts,40400.0,28000
2115,Social and humanities scientists not elsewhere classified,40400.0,28000
2119,Sports scientists,41500.0,33700
2119,Natural and social science professionals not elsewhere classified,41500.0,33700
2121,Building and building services engineers,50400.0,39200
2121,Geotechnical engineers,50400.0,39200
2121,Mining engineers,50400.0,39200
2121,Structural engineers,50400.0,39200
2121,Transportation engineers,50400.0,39200
2121,Water engineers (professional),50400.0,39200
2121,Civil engineers not elsewhere classified,50400.0,39200
2122,Automotive engineers (professional),46800.0,38400
2122,Marine engineers and naval architects,46800.0,38400
2122,Mechanical design engineers,46800.0,38400
2122,Mechanical engineers not elsewhere classified,46800.0,38400
2123,Laser engineers,58700.0,47100
2123,Power systems engineers,58700.0,47100
2123,Railway signalling engineers,58700.0,47100
2123,Electrical engineers not elsewhere classified,58700.0,47100
2124,Broadcast engineers (professional),52000.0,41200
2124,Telecommunications engineers (professional),52000.0,41200
2124,Electronics engineers not elsewhere classified,52000.0,41200
2125,Chemical engineers,45000.0,36500
2125,Control and instrumentation engineers,45000.0,36500
2125,Industrial and production engineers,45000.0,36500
2125,Production and process engineers not elsewhere classified,45000.0,36500
2126,Aeronautical engineers (professional),52400.0,43400
2126,Aircraft engineers (professional),52400.0,43400
2126,Avionics engineers,52400.0,43400
2126,Aerospace engineers not elsewhere classified,52400.0,43400
2127,Engineering project managers and project engineers,51900.0,40600
2129,Acoustic engineers,46100.0,37500
2129,Biomedical engineers,46100.0,37500
2129,Brewers (qualified),46100.0,37500
2129,Clinical Engineers,46100.0,37500
2129,Energy engineers,46100.0,37500
2129,Food technologists,46100.0,37500
